nH,log(R_in*),T_p,R_ratio
0.04560236233834126,7.763546402097447,236529.3575649418,8.960857699723881
0.03578118573700613,7.66088297661985,242657.5022578844,10.304841142075388
0.04526046979048269,7.751310429745261,237071.78912959536,8.869157941232375
0.04538923074594588,7.760882804364306,236466.12960302425,8.602192871586828
0.029492413110419717,7.584426909061496,247920.25937239762,11.934941506414873
0.03984379749128954,7.701396302420107,240051.50864616732,10.24461674507143
0.041015218091600254,7.721449105571739,238859.33442878522,8.75215273902965
0.04157728642856977,7.705790665393671,240119.7214687451,9.036802062381678
0.04809476301456634,7.793597766823596,234243.95495286054,7.725511087050865
0.04518307742116196,7.765865358639168,236010.52915646648,8.0989362685726
0.04404981182903972,7.726910416247235,239088.65848292178,8.677448435371508
0.05026052910770816,7.785551218336776,235457.01011413673,8.199982322139135
0.04167652114197401,7.720931413532503,238857.623896049,9.274617227004686
0.04156665882751051,7.722866813990437,238167.14592277928,9.671934325940136
0.044391509079739634,7.742376609262389,237654.86532761625,8.567345768934077
0.04897344484905565,7.80181538600399,233945.2780804764,8.053124829790676
0.037881170238760906,7.6846096794619045,240978.01722605652,10.199643292733121
0.036888934507507534,7.6533294017943545,243719.78446302385,11.341028989710214
0.04506537798907852,7.750177503052259,237272.1436744457,8.88511210468005
0.036624291197990974,7.657459613347883,243155.52469701364,10.472577308709965
0.040710247589928,7.679804477993458,242377.2923472567,8.991512826460127
0.05069159384635251,7.811111355138819,233478.49944613033,8.281327133888137
0.0461761589467284,7.77106661794204,235580.1177924871,8.580996437987386
0.04045402599852506,7.720548429705674,238691.95300617648,9.251887286150863
0.04152200504081715,7.703345281512783,240092.82722553585,9.102465734144943
0.040063661510439,7.69322770149057,240966.57900538118,9.780068000435655
0.03814412496107999,7.6758897019371695,241808.40206854214,9.926787893143327
0.0451942728967817,7.739052650044984,238610.92785746275,8.884079343230095
0.04163840391742206,7.726823098613213,238152.25778692708,8.658881889920831
0.040876745237478314,7.704435055314726,240083.923612836,9.142871485599656
0.045420029390915134,7.750869752794751,237206.17599817066,9.182082747119544
0.04516610125926313,7.732148659469787,238907.52944386477,9.069925458244935
0.04403600683348945,7.732640558334652,238753.2962128049,8.688111024537047
0.03886955647302359,7.681103168212855,241577.52038794907,10.464911964878883
0.03663727035812685,7.649745364237167,244084.56806871484,10.609664873584865
0.042380245404655,7.723081286544944,239042.04613314779,9.005609170048592
0.04069222847431615,7.689604198164061,241515.78993524052,10.235144790708226
0.04630491445653531,7.789954592697547,234058.04068968794,7.028974495524122
0.038654571434910814,7.702775918642736,239857.55008650574,9.892244878446556
0.046118851740386504,7.752547576017218,237055.68438480384,8.6731913250046
0.04243630475060671,7.733829354113318,237892.87627614554,8.868066890873274
0.048647409894815336,7.80167883931904,233963.00957523257,7.536850479992371
0.03751575252568122,7.697453141936561,239964.52973512968,9.601785838104325
0.04368024408729501,7.731402005065362,238522.7340118824,8.955321180507505
0.045856969544208065,7.744764111636728,237790.83305352114,9.152290695421037
0.03917689710835063,7.682184242379189,241665.12441631526,9.809414067519914
0.04521992069478454,7.753634608196151,236832.14475587982,8.622274098552815
0.04268814992584806,7.711844844383935,239853.61418067472,9.999696738632213
0.05057638363226856,7.781601193907282,236119.64192026365,7.949574328497419
0.043722169376053985,7.723893640252462,239052.65891680573,8.648361308404798
0.04340337917613116,7.720092165933282,239368.44938043284,9.7081590971523
0.03698900020113144,7.680764376231884,240945.99239730474,9.434159264645402
0.0577196561096652,7.862019514177699,231269.49922850082,6.962071182425056
0.04368449804055503,7.730748562025202,238678.33765619653,8.708333808220264
0.04045402599852506,7.720548429705674,238691.95300617648,9.251887286150863
0.04450615353802786,7.744646120361027,237663.63457628345,8.705531341471248
0.046476723110481344,7.748956709558012,237590.03256579334,9.224345839343925
0.03814751884486352,7.679876851087966,241546.28107764278,9.847557621652271
0.04050558626822601,7.689000538928204,241555.8979089416,9.728756984873725
0.041422768949005075,7.710768223899849,239976.56066871976,9.892352706391424
0.0485805266191509,7.764521495585121,236942.88606296302,8.61405319635607
0.046362918291949995,7.762251159457295,236500.11353889536,8.721474053764576
0.04739146578846444,7.766745460756553,236624.69822259524,8.832738003693573
0.041846357117158964,7.711723376416572,239806.73285333166,9.383117590740484
0.04238358194829363,7.720688757945429,239061.29448115974,8.887560257442505
0.03701685002663303,7.6650293976895245,242656.03718295117,10.795159198472781
0.04107243105022018,7.706618724575369,240097.67119569128,9.776838740463633
0.04868144260766828,7.786377628429747,234958.96387900165,8.424436332277661
0.04782343105593465,7.7754605810916,235739.55792957594,7.760087193326019
0.047408410452118396,7.759410071791735,236928.82629120885,9.200962221000525
0.03777249565967641,7.677073294280475,241609.89897237343,10.477472181806291
0.045405141852529904,7.755985134831379,236702.2883295293,8.587609046140734
0.0417522564865678,7.698568595310611,240854.9436715501,9.629160097220002
0.034572068270195155,7.668986311469945,241289.44553698073,10.49435892006021
0.053925427033887724,7.811620850443317,234537.94954059357,7.696342348870453
0.04023377090415775,7.710558035237492,239504.44625020833,9.396950214119324
0.04466912045305414,7.717743450911391,239985.16723207207,9.392076259961206
0.05006163186590874,7.8108094075949746,233616.21277480185,7.139673061967135
0.03981095775421896,7.709097406385532,239403.03075727366,9.890431612880743
0.05133101722733928,7.815268208796759,233389.53382336718,7.213458688359562
0.038774198870343904,7.673754207857838,242164.48155882733,10.253478564025684
0.03701685002663303,7.6650293976895245,242656.03718295117,10.795159198472781
0.04631246770821192,7.765447295751747,236420.63609964063,8.283215371072227
0.04374434016121678,7.749948100235336,236809.97792380722,9.058649589823668
