nH log(R_in*) T_p R_ratio
4.308229339823002602e-02 7.733310367026670740e+00 2.381411802635892818e+05 9.940859674261023571e+00
4.359004198546924391e-02 7.742615160670259122e+00 2.374978947126721905e+05 9.566466695647052987e+00
4.770460423859620297e-02 7.757890269015329743e+00 2.373257882305945095e+05 8.128991602080565926e+00
3.739223454764602217e-02 7.651667776593573222e+00 2.436197193958483695e+05 1.029864296141595403e+01
4.873217225898514304e-02 7.788936539509215606e+00 2.349305391944154107e+05 7.824290574315522662e+00
4.268814992584805956e-02 7.711844844383935360e+00 2.398536141806747182e+05 9.999696738632213311e+00
4.861935698782601789e-02 7.780116485366024293e+00 2.355847262291700463e+05 8.527413295060652487e+00
3.896344813584973199e-02 7.673197801652580807e+00 2.423267973443520605e+05 9.502841021065989935e+00
4.579805786326279771e-02 7.744131869605738849e+00 2.380617151707388693e+05 8.269332382718738828e+00
4.922951757418192464e-02 7.794258019126098169e+00 2.344350480290025298e+05 8.034491435746719645e+00
4.499662400228821024e-02 7.729151635766219108e+00 2.389875488835432334e+05 9.514382617143120058e+00
4.411741006072934790e-02 7.722364021007146917e+00 2.392498663045275025e+05 8.994090613803319201e+00
4.919148794435213717e-02 7.774104597013218765e+00 2.361365845796774956e+05 8.620721098997023546e+00
4.871093849830580857e-02 7.780614403941541468e+00 2.358610258972708543e+05 7.455999236045522949e+00
4.042124486343096762e-02 7.695578544747320393e+00 2.409976609538237390e+05 8.537345909680414735e+00
4.087154631339737221e-02 7.689463910324498386e+00 2.415243188019730151e+05 1.046317455397864293e+01
3.500051305431783194e-02 7.640593285178393756e+00 2.444414720684018394e+05 1.064380007595535815e+01
4.368430036879382417e-02 7.732219994796248663e+00 2.385996361126940465e+05 9.230881127818308940e+00
4.657310228980827971e-02 7.753671857097175213e+00 2.374641651233123266e+05 9.092341504612392100e+00
4.972575597420814120e-02 7.791414803115435106e+00 2.352778468392386567e+05 7.910249124854772163e+00
5.243624869300181346e-02 7.831230571923500250e+00 2.323376212379946955e+05 7.314911002142601149e+00
4.636681489080125840e-02 7.764597595197252566e+00 2.364174771876538289e+05 8.194794500721082287e+00
3.596431182808737526e-02 7.654414914988728391e+00 2.430634462237222178e+05 1.073602342686944766e+01
4.132459828627361997e-02 7.715896149156572292e+00 2.389532606659320300e+05 9.871120699933500831e+00
4.427439698342459928e-02 7.738778523207329840e+00 2.379281109065351775e+05 9.215903809779803169e+00
4.625948678101839129e-02 7.764908671885196512e+00 2.360731238955278241e+05 8.329853588857950797e+00
5.054939365850816269e-02 7.804012187216391006e+00 2.340910627532353683e+05 7.247303285032433706e+00
4.260211403270312142e-02 7.739400448972118873e+00 2.374734826607354626e+05 9.239302538664759368e+00
4.004110692056839227e-02 7.679765119769283110e+00 2.418583292283917544e+05 9.827685816671209551e+00
3.466794827115595584e-02 7.636308527462903228e+00 2.448343036388967885e+05 1.142859289959644720e+01
4.291365189953764286e-02 7.731603041705398027e+00 2.383681621283894347e+05 8.384243182777119330e+00
3.762175288199478412e-02 7.681369057124507016e+00 2.411229548549699248e+05 1.027592510873347464e+01
4.847651560216717503e-02 7.787665357959800083e+00 2.348334533922260744e+05 7.848144315085168188e+00
4.227902462338452294e-02 7.716832734453591414e+00 2.393948156349487836e+05 9.523679787218380710e+00
4.354648433388208506e-02 7.727079396540976752e+00 2.387955601031394035e+05 8.792059590235034250e+00
4.576368078135417683e-02 7.762748449326628553e+00 2.362520050012213469e+05 8.398504503666828214e+00
4.091571518733552737e-02 7.742417784765835087e+00 2.365757620387357892e+05 8.811433803328055703e+00
5.094859287272660020e-02 7.813718122646851505e+00 2.334551907131162006e+05 7.759988396598850535e+00
5.132031659461906703e-02 7.816575018881898096e+00 2.335343674172325118e+05 6.493544680137750547e+00
4.627532415429552737e-02 7.748673420976182058e+00 2.375342764435383142e+05 8.422699159470191432e+00
4.084753293519736983e-02 7.702532496842601439e+00 2.402251947389616980e+05 9.908023130774100906e+00
3.898201393354739502e-02 7.701431751750935639e+00 2.400207818804922863e+05 9.387538895961039742e+00
3.701685002663303303e-02 7.665029397689524515e+00 2.426560371829511714e+05 1.079515919847278127e+01
3.687802957306014762e-02 7.655788758567714680e+00 2.430651427762424573e+05 9.194431501560229592e+00
3.620989073583817663e-02 7.672730776026253530e+00 2.416635595817156718e+05 9.998916864140010574e+00
4.201046098781317101e-02 7.734530763611796367e+00 2.377585213175988174e+05 8.475796993731650630e+00
4.454871159494047661e-02 7.738942466586002489e+00 2.380528442413955345e+05 8.610979881484063014e+00
3.804566391384464619e-02 7.680914744437156827e+00 2.413508953125135449e+05 1.029889727215361006e+01
4.627532415429552737e-02 7.748673420976182058e+00 2.375342764435383142e+05 8.422699159470191432e+00
4.438022113035576532e-02 7.729979296399852373e+00 2.390992551476261870e+05 8.485332684535693559e+00
5.109549468145159479e-02 7.819072446396383214e+00 2.332344642621109379e+05 7.620072850066518022e+00
4.972575597420814120e-02 7.791414803115435106e+00 2.352778468392386567e+05 7.910249124854772163e+00
5.068942425865693990e-02 7.806996488786997368e+00 2.340388503263793828e+05 7.964638399286819492e+00
4.859348768540210084e-02 7.776715803458808196e+00 2.361725057765811216e+05 7.838909817530526070e+00
3.675117225825486056e-02 7.637959241651168796e+00 2.449272116935734230e+05 1.136641673873932845e+01
4.194779022943453950e-02 7.707672215648606162e+00 2.399878572876297403e+05 8.735523398610885337e+00
4.036078666156567296e-02 7.698842614444906474e+00 2.402580119411592023e+05 9.549857410573068250e+00
4.354626549631318566e-02 7.722698096591303241e+00 2.394035197206253360e+05 9.548789653703003921e+00
3.998167741459506680e-02 7.705864676686107195e+00 2.400705297074637783e+05 8.965140703976537395e+00
4.244828981262154660e-02 7.731640474889032610e+00 2.384060644393477996e+05 9.753833339413031212e+00
3.720323255367425502e-02 7.666462750922082847e+00 2.425722287346025696e+05 1.106814814865140306e+01
3.756693374289288984e-02 7.678314765142331133e+00 2.414839098334588634e+05 9.749558278777287867e+00
3.876783297757262214e-02 7.689911650151913136e+00 2.409841573435169994e+05 9.898160370084257309e+00
4.192199214206339397e-02 7.718938604979914686e+00 2.390443629633903329e+05 8.495252732729653644e+00
4.430453187115787617e-02 7.727197664772003982e+00 2.390860035456863989e+05 9.614998165928641427e+00
3.738939038989580466e-02 7.656537943818087832e+00 2.434872004341548309e+05 1.058051872856059461e+01
4.364725713566600107e-02 7.747909967149515964e+00 2.368608283009915613e+05 8.792713685091829490e+00
4.042674046692223272e-02 7.664797531042576217e+00 2.437389985277850064e+05 1.055319554481078725e+01
4.846423303088329138e-02 7.772629850130215345e+00 2.361650340213228192e+05 8.851826531611569848e+00
4.313607137849156947e-02 7.729130050824041476e+00 2.385427773847223725e+05 8.986152280523972635e+00
4.176624462365245705e-02 7.722458664227709768e+00 2.390341408041336981e+05 8.808089110361251528e+00
4.617615894672839894e-02 7.771066617942040011e+00 2.355801177924870863e+05 8.580996437987385761e+00
4.160524659608267478e-02 7.705086910036873071e+00 2.404459175870734034e+05 9.171057676461352060e+00
3.680161169343154626e-02 7.669732433989908671e+00 2.420412414649337297e+05 9.821184729055863372e+00
4.050632537720422893e-02 7.693236201323878198e+00 2.410158461896886001e+05 9.912136200243683248e+00
4.443978590715766397e-02 7.756815530954030535e+00 2.366757690715552308e+05 8.950541952625391318e+00
4.056819524731626603e-02 7.696189682167821289e+00 2.403921323841447593e+05 8.406427916680856427e+00
4.129992724248433833e-02 7.695626732804153214e+00 2.411312121841133921e+05 9.690389064295215960e+00
4.287801141777279612e-02 7.719742141190865325e+00 2.395035801765215874e+05 9.207559612189289311e+00
3.531072808429417537e-02 7.660447550803591632e+00 2.427005819265729806e+05 1.116875544456859615e+01
4.624219609704402489e-02 7.748330299858204206e+00 2.377317717795405770e+05 8.917947906341670006e+00
4.960384288058249103e-02 7.782699441456368383e+00 2.358661237477141258e+05 7.944728776668774195e+00
4.853294960370511252e-02 7.774130308800159206e+00 2.363776470160061435e+05 8.213862639999796045e+00
4.371412609880096639e-02 7.735242854864356588e+00 2.381197297145882330e+05 9.337795945588137414e+00
4.202845685675939136e-02 7.713071755691635722e+00 2.396755847078264051e+05 9.712276627032760956e+00
5.282316368998291045e-02 7.830622821582976734e+00 2.326510775733292685e+05 7.532126379881706413e+00
3.476704405812125476e-02 7.645765353420629573e+00 2.436848475925380772e+05 1.131383389223514868e+01
5.042451715557770553e-02 7.798286328133998246e+00 2.346462596971585008e+05 7.221696357621582685e+00
4.659834593348897297e-02 7.785823471905421123e+00 2.346171852521363180e+05 7.816706498641160294e+00
4.094131699707679456e-02 7.703611567891726963e+00 2.402931496436918387e+05 9.661881980387843072e+00
5.006877211308920911e-02 7.781784101395761155e+00 2.358908981383334904e+05 8.340193888639008790e+00
4.427452350966291916e-02 7.746511841700050915e+00 2.375049763833224715e+05 9.286399237195228196e+00
4.210335569308741588e-02 7.704626770759355203e+00 2.402907030554866942e+05 9.717506211365414259e+00
4.356312348847446447e-02 7.735710782392518858e+00 2.380418560541777115e+05 8.784233634071460628e+00
4.415314245600042431e-02 7.745673956954411743e+00 2.372823351852177584e+05 9.455209395391960925e+00
4.376890317484664894e-02 7.733051805068706486e+00 2.384386697237425542e+05 8.989736130596666541e+00
3.952501910971965848e-02 7.675989222251568656e+00 2.424321909036689322e+05 9.306799669875610803e+00
4.593715638555193048e-02 7.763568513148654482e+00 2.362113063848922611e+05 9.051906997778674580e+00
3.795535662638992169e-02 7.674592931249060612e+00 2.421556730827591964e+05 1.006956682709099304e+01
4.691471758177952200e-02 7.792530831858544005e+00 2.340664771606326976e+05 7.668332626610128600e+00
5.052563129246977203e-02 7.803686117269382549e+00 2.342420178662922699e+05 7.606654912911405830e+00
4.019245262030081423e-02 7.705584292229599619e+00 2.397926219271071313e+05 9.194457292771375023e+00
3.979471358063376568e-02 7.680752481917205721e+00 2.419196660034953675e+05 9.591876638189582138e+00
5.092279707374958164e-02 7.811492955846369490e+00 2.339125360868716962e+05 8.229568160245369413e+00
3.687634525189308066e-02 7.662447976935119698e+00 2.427204860800720053e+05 1.037953042430812012e+01
3.748836403222306768e-02 7.674355048723842110e+00 2.421306801974456175e+05 1.066253084499869530e+01
4.548659572563121256e-02 7.732823580128056484e+00 2.389056699931433541e+05 8.782112125750304088e+00
3.854207997698495120e-02 7.668317492095250820e+00 2.425135079039354168e+05 1.083712673662353687e+01
4.315804783647145260e-02 7.737872231961331337e+00 2.376921937835860590e+05 8.430908362482483653e+00
4.192199214206339397e-02 7.718938604979914686e+00 2.390443629633903329e+05 8.495252732729653644e+00
4.853294960370511252e-02 7.774130308800159206e+00 2.363776470160061435e+05 8.213862639999796045e+00
4.708415419376842104e-02 7.768573209382707567e+00 2.361020776269687631e+05 8.498757446911897162e+00
3.571182967268750341e-02 7.670459734270705709e+00 2.416225564917312877e+05 9.985581929337048024e+00
4.451082040835517561e-02 7.728937251125511665e+00 2.388499237118888414e+05 9.012069790079539899e+00
3.765531122646699480e-02 7.677852843131694804e+00 2.413710912819736695e+05 9.654370798550619526e+00
3.943834831679302044e-02 7.688691689871761881e+00 2.411065085109324427e+05 9.920734633832879013e+00
4.030900296006401790e-02 7.700548076478512804e+00 2.403305458051770402e+05 9.566212886156590045e+00
3.266872225660621964e-02 7.640447325241315646e+00 2.434799684952573152e+05 1.092057498971740515e+01
4.724472187767495002e-02 7.777617590196119757e+00 2.353963062879671925e+05 7.951998305371409614e+00
5.125699874698819158e-02 7.841648224847597604e+00 2.311734118346032628e+05 7.223323618303734150e+00
4.623281584904292973e-02 7.749170252061039044e+00 2.375858241123415646e+05 8.628816574416910967e+00
3.491972350154183558e-02 7.639104880005349152e+00 2.445208835304374516e+05 1.078099234662554196e+01
4.087674523747831384e-02 7.704435055314726277e+00 2.400839236128359917e+05 9.142871485599656012e+00
5.080505248207435598e-02 7.802770137639206460e+00 2.344118997776312754e+05 7.924817283773103682e+00
4.484071488065419914e-02 7.753651395518315503e+00 2.370041744863049826e+05 8.641396548196343730e+00
5.070814189162535512e-02 7.802231443375946540e+00 2.342892776002684259e+05 8.184643818169792695e+00
3.817108185228966499e-02 7.680101487324445309e+00 2.416170011988399492e+05 1.002428780025563526e+01
4.175235107535563844e-02 7.730809173780807342e+00 2.380535898899747699e+05 8.985581872078178378e+00
3.667203898886323143e-02 7.644121914074093915e+00 2.446941343646532041e+05 1.075781689076609737e+01
3.837725257741246565e-02 7.666149339125151840e+00 2.429278065085118578e+05 1.059996986390914131e+01
3.928813356266074031e-02 7.669862901360781748e+00 2.429969418404151220e+05 1.057902905243713221e+01
4.361012547254906890e-02 7.714159510248391527e+00 2.400414948727487354e+05 8.698105100905811682e+00
4.590442244591486087e-02 7.759637602479379836e+00 2.369209750316839782e+05 8.848215020661648111e+00
4.177913163796033447e-02 7.708997929837130947e+00 2.398902288403870480e+05 8.530594932662493690e+00
4.652473053864841779e-02 7.753127015642085951e+00 2.374100215120030625e+05 8.533444100745796845e+00
4.023377090415775070e-02 7.710558035237491836e+00 2.395044462502083334e+05 9.396950214119323519e+00
3.995358784279933601e-02 7.706501894270869180e+00 2.398511513572610565e+05 9.317565534616074174e+00
5.447154326037488559e-02 7.843257833030018666e+00 2.319003588427001378e+05 7.736128022130310811e+00
4.647672311048134386e-02 7.748956709558012079e+00 2.375900325657933427e+05 9.224345839343925491e+00
5.139752994260159136e-02 7.806287118742869957e+00 2.342388295391346910e+05 7.271931604449130226e+00
4.779885931900335755e-02 7.779237644264728857e+00 2.355535742775500403e+05 8.570634280568597774e+00
5.068942425865693990e-02 7.806996488786997368e+00 2.340388503263793828e+05 7.964638399286819492e+00
4.745731286523535014e-02 7.771138975755931710e+00 2.359901498090716195e+05 8.031774147037584299e+00
3.954155217519390864e-02 7.698134026107225303e+00 2.401284490095068468e+05 9.918221025661932089e+00
4.433220084651041254e-02 7.718935045143221707e+00 2.398388500447260158e+05 9.276232369358993424e+00
5.101434557291834038e-02 7.797885693222825765e+00 2.344861588223430736e+05 8.383403250670955487e+00
4.017103013046264409e-02 7.692755542390303347e+00 2.409472321404569666e+05 9.845923628166922015e+00
4.627532415429552737e-02 7.748673420976182058e+00 2.375342764435383142e+05 8.422699159470191432e+00
4.633156169394136992e-02 7.778944722509913312e+00 2.348374593332215736e+05 8.261119834083068270e+00
5.125840300565677465e-02 7.807903452922918319e+00 2.340825337292242039e+05 7.647051316863304748e+00
4.204585850259803803e-02 7.721595643755819971e+00 2.388951687054608483e+05 9.120253675830424456e+00
4.787062925491240850e-02 7.775160535491290048e+00 2.358919022835331270e+05 8.078668114416331036e+00
4.131626603490425043e-02 7.723568136463595302e+00 2.386325469981359493e+05 8.666945045711148765e+00
4.438022113035576532e-02 7.729979296399852373e+00 2.390992551476261870e+05 8.485332684535693559e+00
4.087908868671383256e-02 7.706870916737940114e+00 2.400098670808793395e+05 9.393026158039248230e+00
