weight logl nH log(R_in*) T_p R_ratio
0.000000000000000000e+00 -3.245140955046608398e+12 3.682082251850337523e-02 7.787259461879370903e+00 6.810687145989435958e+05 2.777596608011672075e+01
0.000000000000000000e+00 -2.768282882852860840e+12 9.658544854612022279e-02 7.768980468171483800e+00 7.133910336910836631e+05 8.024608497999290435e+00
0.000000000000000000e+00 -2.486087921321630859e+12 5.438812816590478383e-02 7.988793469040609274e+00 5.908907415271759965e+05 2.369238530808000220e+01
0.000000000000000000e+00 -2.471070145372378906e+12 9.077597198576541071e-02 7.562489876973129910e+00 8.227839757749565179e+05 1.679565643957519683e+01
0.000000000000000000e+00 -2.344422364970799316e+12 8.840256406418896262e-02 7.631903809600000699e+00 7.744639915300331777e+05 1.807058468873462331e+01
0.000000000000000000e+00 -2.321101377351757324e+12 2.957466866743094225e-02 7.990957040029998737e+00 5.765957112175318180e+05 6.740408821514726867e+00
0.000000000000000000e+00 -1.894476197383375977e+12 9.243332518448532653e-02 7.631150205759896998e+00 7.637649157442898722e+05 2.978580359140005385e+01
0.000000000000000000e+00 -1.816784632734295166e+12 5.362699475134616312e-02 7.612175950185153361e+00 7.490490834110567812e+05 2.879523359734842103e+01
0.000000000000000000e+00 -1.549077513433920654e+12 8.196785117213432892e-02 7.483342389901089575e+00 8.357909612411075504e+05 2.824837219765486296e+01
0.000000000000000000e+00 -1.478163806467792236e+12 8.445399925187498102e-02 7.687635487493484021e+00 7.136357037192619173e+05 1.336491279937742505e+01
0.000000000000000000e+00 -1.451014075275469238e+12 3.424873065763567315e-02 7.520459508658553283e+00 7.763520299352055881e+05 2.478994776185583504e+01
0.000000000000000000e+00 -1.396301136885774902e+12 9.342489942572898554e-02 7.895314624585325625e+00 6.199707721121588256e+05 2.693816475095790963e+01
0.000000000000000000e+00 -1.344634474333230469e+12 7.621213420415594297e-02 7.821179404126795021e+00 6.414971652284965385e+05 2.061773367165325510e+01
0.000000000000000000e+00 -1.337743248931928467e+12 2.788892488901779237e-02 7.716236381130881838e+00 6.644312033306772355e+05 2.757080713846858089e+01
0.000000000000000000e+00 -1.313311406037840088e+12 6.838150561262269778e-02 7.587789660296610172e+00 7.516403476094700163e+05 2.892442396656828763e+01
0.000000000000000000e+00 -1.299485074558207031e+12 6.339445441805011128e-02 7.998061750468970388e+00 5.656561553080587182e+05 1.499301641205340729e+01
0.000000000000000000e+00 -1.144440668411486816e+12 2.414407541930538303e-02 7.814205015854065017e+00 6.126161667942493223e+05 2.495314247932919471e+01
0.000000000000000000e+00 -1.079449222379835327e+12 9.490766808880260474e-02 7.866379634325855186e+00 6.210254227362833917e+05 2.785675491136334969e+01
0.000000000000000000e+00 -1.070737712059354736e+12 5.738428569685799507e-02 7.923977010249966035e+00 5.822275295553798787e+05 1.492434749098033464e+01
0.000000000000000000e+00 -9.202107596592843018e+11 9.215548749334481760e-02 7.581979464411103820e+00 7.470042618285957724e+05 2.213517436261760452e+01
0.000000000000000000e+00 -8.797035782462735596e+11 6.563031750856859747e-02 7.694483588909641014e+00 6.726770326409533154e+05 2.620852601386105363e+01
0.000000000000000000e+00 -8.707712675463094482e+11 8.677396040141824307e-02 7.771363566732388151e+00 6.476003164242148632e+05 1.965036491872787039e+01
0.000000000000000000e+00 -8.306476221658686523e+11 8.422381542682325084e-02 7.788299577313861910e+00 6.368864098089637700e+05 1.356378316436137155e+01
0.000000000000000000e+00 -8.265884729964116211e+11 7.579212535182516808e-02 7.999852987310418939e+00 5.531198814589264803e+05 2.462013629008871618e+01
0.000000000000000000e+00 -7.973216355873476562e+11 5.975969403120159895e-02 7.508839949390790025e+00 7.606701025402327068e+05 2.038115817714784583e+01
0.000000000000000000e+00 -7.573474445225742188e+11 3.993208118500231329e-02 7.531045392145138351e+00 7.332821914259728510e+05 2.635915953431548786e+01
0.000000000000000000e+00 -6.963316467467044678e+11 3.504243430178315827e-02 7.857871148046347010e+00 5.797746205532560125e+05 1.338874706555548322e+01
0.000000000000000000e+00 -6.642674806251569824e+11 3.238490098936558370e-02 7.661432453646483509e+00 6.569926044922872679e+05 1.710459390922324019e+01
0.000000000000000000e+00 -6.230692026099427490e+11 2.290682835951286453e-02 7.823711788924272881e+00 5.826031380407470278e+05 2.292138502727177851e+01
0.000000000000000000e+00 -6.178731797087208252e+11 2.448537835095854903e-02 7.872312513418337154e+00 5.652513474889266072e+05 2.774896111052947134e+01
0.000000000000000000e+00 -5.932316955155662842e+11 2.120756214431119072e-02 7.972916690419281416e+00 5.285328147737180116e+05 1.033643139113487663e+01
0.000000000000000000e+00 -5.763850856939953613e+11 2.642751820297377374e-02 7.753480425652134578e+00 6.081444237674386241e+05 2.454296016495946731e+01
0.000000000000000000e+00 -5.591888442002679443e+11 4.103597828290786453e-02 7.877944799403447718e+00 5.664819139097054722e+05 2.803415010108511041e+01
0.000000000000000000e+00 -4.914372461684563599e+11 3.514843690264321530e-02 7.565322024804154388e+00 6.892728169730000664e+05 5.795536649233858029e+00
0.000000000000000000e+00 -4.625743769951505737e+11 6.934908716882914881e-02 7.548541716704613158e+00 7.121479515992922243e+05 1.773177343560293195e+01
0.000000000000000000e+00 -4.024117874501711426e+11 9.738367362168201535e-02 7.598480308679107509e+00 6.941577738363397075e+05 2.693019689086306201e+01
0.000000000000000000e+00 -4.006418257365350952e+11 7.103514255143036915e-02 7.761795998586141110e+00 6.093123287298497744e+05 2.235889170743088883e+01
0.000000000000000000e+00 -3.839561781174240723e+11 7.172132977126194353e-02 7.626659546070191809e+00 6.654159223661322612e+05 9.554070942997647364e+00
0.000000000000000000e+00 -3.603716486265570068e+11 2.904865692435487645e-02 7.833640189925194619e+00 5.602144062920057913e+05 1.755932938449402059e+01
0.000000000000000000e+00 -3.220760121842025757e+11 6.516631632974836941e-02 7.519218203213170248e+00 7.047665647335754475e+05 2.248083535784027021e+01
0.000000000000000000e+00 -2.820507216675128174e+11 5.444564811513412372e-02 7.816135024158639588e+00 5.676507421033778228e+05 1.801274492125195081e+01
0.000000000000000000e+00 -2.586515349712070007e+11 9.527031318467672760e-02 7.686955527369773833e+00 6.312167177559019765e+05 2.870343850577287981e+01
0.000000000000000000e+00 -2.366537558539841614e+11 3.783759087044226421e-02 7.792633499162312738e+00 5.623046031669969670e+05 2.177893636073392614e+01
0.000000000000000000e+00 -2.265869167669530029e+11 3.576350492957884597e-02 7.766967148873630045e+00 5.688567781063008588e+05 7.845813807542524110e+00
0.000000000000000000e+00 -2.075177967528310547e+11 3.386278663820427304e-02 7.627779801322530417e+00 6.176413935014710296e+05 1.633396405195804491e+01
0.000000000000000000e+00 -2.055420331567689209e+11 8.133533492017004651e-02 7.747903481546707383e+00 5.911400081125897123e+05 2.324214277889160840e+01
0.000000000000000000e+00 -1.496483644588202209e+11 6.855901715181274281e-02 7.742036512569163698e+00 5.753443920465521514e+05 2.769092309637134619e+01
0.000000000000000000e+00 -1.371149490119880981e+11 6.063373750322818834e-02 7.849906467922921571e+00 5.326173112030512420e+05 2.104857562390330017e+01
0.000000000000000000e+00 -1.296357112659794312e+11 6.330406638317280510e-02 7.851880299259192952e+00 5.311259108086021151e+05 6.540354679829250450e+00
0.000000000000000000e+00 -1.285314725183646698e+11 2.867038394835410425e-02 7.578613952930573383e+00 6.140299995324632619e+05 2.045447677148069587e+01
0.000000000000000000e+00 -1.240102415502968903e+11 3.914410796310713314e-02 7.680152662818671594e+00 5.780230709336241707e+05 2.906580286661260715e+01
0.000000000000000000e+00 -1.172534509485845490e+11 6.555012374674817899e-02 7.925975572482053977e+00 5.062460244687712402e+05 1.658396492101928743e+01
0.000000000000000000e+00 -1.168704477036923370e+11 5.223642639541721533e-02 7.480937880237109816e+00 6.633699953755763127e+05 8.015799906682945064e+00
0.000000000000000000e+00 -1.156546681912354431e+11 7.930977293056480637e-02 7.714154065399469573e+00 5.797261926300671184e+05 8.092254672651371550e+00
0.000000000000000000e+00 -1.097051966675979309e+11 3.755006511583872802e-02 7.916382621579769463e+00 4.967347360922070802e+05 1.802405757587754920e+01
0.000000000000000000e+00 -1.069097687303440857e+11 9.657426022406515043e-02 7.639152733816149343e+00 6.121834403516761959e+05 2.724738441242862663e+01
0.000000000000000000e+00 -1.055087924909241333e+11 3.270452770628419492e-02 7.652398216161278910e+00 5.789754336638597306e+05 1.253790221257846227e+01
0.000000000000000000e+00 -9.876114060650473022e+10 2.066100776792372321e-02 7.827389447774208975e+00 5.130407138045898173e+05 8.446064267386230284e+00
0.000000000000000000e+00 -9.720109983146093750e+10 5.783704834626028635e-02 7.548467030803933220e+00 6.276043606397118419e+05 2.034150816082222946e+01
0.000000000000000000e+00 -9.287390374891093445e+10 6.531589411517585431e-02 7.769219785024356284e+00 5.468272507796636783e+05 2.524080284125259865e+01
0.000000000000000000e+00 -9.218283827299671936e+10 5.074795185460703739e-02 7.914480290969442500e+00 4.967512691945888218e+05 1.682192794679867376e+01
0.000000000000000000e+00 -9.092252028467709351e+10 4.819971888186329323e-02 7.731270429630723307e+00 5.519582511441381648e+05 2.424760578833954838e+01
0.000000000000000000e+00 -8.580174519507566833e+10 8.249599673177925030e-02 7.481642391328368724e+00 6.625974281348873628e+05 2.736635353318448693e+01
0.000000000000000000e+00 -8.445624645361322021e+10 3.588879354999528065e-02 7.707786033104592427e+00 5.521921772304048063e+05 7.760164150713961817e+00
0.000000000000000000e+00 -8.317887485595448303e+10 6.637005075677614163e-02 7.609129855141572918e+00 6.002198983635860495e+05 2.874349816909301225e+01
0.000000000000000000e+00 -8.136863929051698303e+10 5.956381361413527753e-02 7.783186190377190172e+00 5.354905781857920811e+05 6.116691500480870403e+00
0.000000000000000000e+00 -7.324573620236260986e+10 7.413527980226107539e-02 7.618588408409293855e+00 5.949755678215769585e+05 5.502179151385076850e+00
0.000000000000000000e+00 -7.235483072177490234e+10 6.520888852401283964e-02 7.971988613864014361e+00 4.789054960790317273e+05 2.577658695327241389e+01
0.000000000000000000e+00 -7.017820079471218872e+10 2.845282744471695074e-02 7.676573788517648822e+00 5.528595321895322995e+05 2.754846182541080424e+01
0.000000000000000000e+00 -7.004240684847128296e+10 3.291381519109938536e-02 7.887287684212516581e+00 4.894756100834411336e+05 1.408630765231212578e+01
0.000000000000000000e+00 -6.942630975231642151e+10 5.057067535825095217e-02 7.951499582055221893e+00 4.781452234942477662e+05 6.208468187920913373e+00
0.000000000000000000e+00 -6.364961502231145477e+10 7.515852796344713038e-02 7.789890454460079106e+00 5.307292647171419812e+05 1.255863821793109736e+01
0.000000000000000000e+00 -6.244325144759463501e+10 6.423876634707714750e-02 7.553484214527755647e+00 6.088907414738551015e+05 2.700837769459619153e+01
0.000000000000000000e+00 -6.017926021288865662e+10 9.482460821784749472e-02 7.849667687056228083e+00 5.176999764675777406e+05 2.002438994479317103e+01
0.000000000000000000e+00 -5.971230627990448761e+10 8.170787947959866349e-02 7.559992681231617162e+00 6.120683217968409881e+05 1.007102793071470259e+01
0.000000000000000000e+00 -5.799642433769367218e+10 5.419994811751735475e-02 7.632984467504547510e+00 5.716142025949000381e+05 1.513789491720681646e+01
0.000000000000000000e+00 -5.515145859121536255e+10 9.952563443792845910e-02 7.636209978268770016e+00 5.870470810711078811e+05 1.155995796494770289e+01
0.000000000000000000e+00 -5.452588660838690948e+10 6.703058973859932212e-02 7.560147054745175232e+00 6.017234120699323248e+05 1.146106371760659570e+01
0.000000000000000000e+00 -5.302637468054622650e+10 9.816497785573485846e-02 7.866907488877171950e+00 5.097662936635006336e+05 2.487123672443095046e+01
0.000000000000000000e+00 -5.069502117774279785e+10 2.688356539765022687e-02 7.581709172589622625e+00 5.738005268167920876e+05 5.046508981016943451e+00
0.000000000000000000e+00 -5.039175434977412415e+10 2.234317157679881552e-02 7.590325803705260554e+00 5.678432594383507967e+05 1.408770959594002647e+01
0.000000000000000000e+00 -5.018252181953942108e+10 6.116829329196052378e-02 7.677899860583195846e+00 5.533790918576378608e+05 1.702584961854531187e+01
0.000000000000000000e+00 -4.926956709442530823e+10 4.746507686878091714e-02 7.739387895346110824e+00 5.273948971237046644e+05 1.346185139047662460e+01
0.000000000000000000e+00 -4.514126529223869324e+10 5.980106936370063742e-02 7.725807483707691325e+00 5.334056293732265476e+05 2.290162845279697379e+01
0.000000000000000000e+00 -4.511365027711678314e+10 9.071981345974469702e-02 7.973143258316803816e+00 4.736518139563073055e+05 1.119249604248081376e+01
0.000000000000000000e+00 -4.492809143479624176e+10 7.052428616403763617e-02 7.656547497126742208e+00 5.602693005014420487e+05 1.724397387433351270e+01
0.000000000000000000e+00 -4.390729896081683350e+10 6.019904210959185764e-02 7.785688110083782476e+00 5.142061403314057388e+05 1.737258725170477192e+01
0.000000000000000000e+00 -3.845022766505966187e+10 6.494639863188392259e-02 7.731508244615062253e+00 5.280850086634068284e+05 8.323560056426513754e+00
0.000000000000000000e+00 -3.690489839568857574e+10 7.490306901642841686e-02 7.813642741241279666e+00 5.057990379351631273e+05 6.082401816894893010e+00
0.000000000000000000e+00 -3.489756435021022034e+10 4.464134676822154035e-02 7.562801900723636450e+00 5.729995258555748733e+05 1.796911580301617306e+01
0.000000000000000000e+00 -3.417589435162291336e+10 4.731070920263383273e-02 7.543913160519875483e+00 5.801867468203110620e+05 1.190823641719578951e+01
0.000000000000000000e+00 -3.391240267470383453e+10 8.242068111555900245e-02 7.854036493203155445e+00 4.943544399359195377e+05 1.761585593305807862e+01
0.000000000000000000e+00 -3.373957450650857544e+10 2.721818349742829296e-02 7.973627376118257892e+00 4.445144499371994752e+05 7.693057499194564386e+00
0.000000000000000000e+00 -3.326272289544933319e+10 2.594255362081823724e-02 7.880839822346695556e+00 4.668595200429975521e+05 2.282406403568738185e+01
0.000000000000000000e+00 -3.148894362274167252e+10 3.273067525768642155e-02 7.882450809685939142e+00 4.673849889288337436e+05 7.595305034612222173e+00
0.000000000000000000e+00 -3.087857788131082535e+10 2.147282496713109542e-02 7.609116724176442581e+00 5.426240861854518298e+05 2.815628423122296908e+01
0.000000000000000000e+00 -2.966908847247568893e+10 7.395746742946227026e-02 7.819255912984846901e+00 4.971261276521096006e+05 6.511044201766551076e+00
0.000000000000000000e+00 -2.778080928460787964e+10 6.940049092274248876e-02 7.640726509875005235e+00 5.475755055323207052e+05 2.509424059409667507e+01
0.000000000000000000e+00 -2.686290949294012451e+10 7.526081785794461187e-02 7.663097694652920566e+00 5.413082367915762588e+05 2.618376928616444843e+01
0.000000000000000000e+00 -2.532793470619707870e+10 3.037906995403419699e-02 7.947742646569862401e+00 4.443836146427945932e+05 7.908380660478382396e+00
0.000000000000000000e+00 -2.530521597106755447e+10 2.395542610615961077e-02 7.526852947277355099e+00 5.645171338345428230e+05 2.021579570793204539e+01
0.000000000000000000e+00 -2.362644969688531113e+10 4.221132129498300634e-02 7.525353262557042733e+00 5.702140419951548101e+05 1.278059225385268860e+01
0.000000000000000000e+00 -2.262592494809497070e+10 5.435695263724123205e-02 7.953779184222216969e+00 4.482048662749830401e+05 1.983668960156030892e+01
0.000000000000000000e+00 -2.069876426646519852e+10 6.707052647361290421e-02 7.885082304721022339e+00 4.668853146574337734e+05 7.802133629736417220e+00
0.000000000000000000e+00 -1.878917909243585205e+10 2.461558064188350964e-02 7.806075104707479895e+00 4.699219747750029783e+05 5.044732997011124098e+00
0.000000000000000000e+00 -1.589540758959132767e+10 6.029362011665247156e-02 7.717381640333467629e+00 5.019709558131680242e+05 2.734765777913574780e+01
0.000000000000000000e+00 -1.569541294944249344e+10 2.978757576210398425e-02 7.507227606449269786e+00 5.557466446347708115e+05 2.689675083294041258e+01
0.000000000000000000e+00 -1.524261190548715591e+10 9.492157841279001695e-02 7.485206454522335129e+00 5.893932192431003787e+05 2.821148468156072653e+01
0.000000000000000000e+00 -1.285002674258947372e+10 3.282382651193767320e-02 7.715040481569022113e+00 4.861632877918177401e+05 1.598670563871229078e+01
0.000000000000000000e+00 -1.182559516216719627e+10 8.375527886633177266e-02 7.701193746675235374e+00 5.056432620914361323e+05 1.700449175812142499e+01
0.000000000000000000e+00 -1.126958565129843521e+10 7.641212820161001618e-02 7.644859626716487000e+00 5.180492181189786061e+05 1.166707667151141870e+01
0.000000000000000000e+00 -1.027816376416142273e+10 2.771376644303681636e-02 7.942541206079889449e+00 4.220685617843045038e+05 6.611240838688971166e+00
0.000000000000000000e+00 -9.482291639035898209e+09 6.227993298270192990e-02 7.556825339778177941e+00 5.342252849820128176e+05 2.233507848651057159e+01
0.000000000000000000e+00 -9.186963467851364136e+09 6.393852467211216806e-02 7.650526426577854977e+00 5.053885657433450688e+05 1.645114519996143443e+01
0.000000000000000000e+00 -9.169732714206903458e+09 9.390619115347779988e-02 7.803681272848038475e+00 4.737755036443688441e+05 2.813780674017901617e+01
